decision_step,time,action,phase_id,state_north_count,state_east_count,state_south_count,state_west_count,state_phase,reward,total_waiting,vehicle_count,avg_travel_time
80,405.0,0,1,0,7,3,0,0,-14.3,10.0,43,92.59627329192547
81,410.0,2,3,2,10,3,0,2,-19.4,15.0,44,93.3641975308642
82,415.0,1,2,2,8,0,2,1,-16.2,12.0,42,93.52439024390245
83,420.0,3,4,2,7,1,4,3,-18.3,14.0,43,93.6867469879518
84,425.0,2,3,3,9,1,4,2,-21.1,17.0,41,93.81547619047619
85,430.0,4,5,1,10,1,4,4,-21.0,17.0,40,95.01785714285714
86,435.0,0,1,0,10,1,0,0,-19.7,16.0,37,95.57988165680473
87,440.0,6,7,0,10,1,2,6,-19.1,15.0,41,93.99425287356321
88,445.0,5,6,2,10,1,2,5,-21.1,17.0,41,93.54237288135593
89,450.0,4,5,0,10,1,3,4,-20.4,16.0,44,93.16111111111111
90,455.0,2,3,1,10,1,4,2,-22.7,18.0,47,92.8743169398907
91,460.0,3,4,1,10,1,5,3,-25.4,21.0,44,94.10382513661202
92,465.0,6,7,1,9,2,5,6,-21.4,17.0,44,93.24598930481284
93,470.0,2,3,1,8,6,6,2,-25.2,21.0,42,94.37967914438502
94,475.0,0,1,0,10,8,1,0,-23.4,19.0,44,93.52356020942409
95,480.0,1,2,0,7,7,2,1,-20.6,16.0,46,92.7897435897436
96,485.0,1,2,1,7,3,5,1,-20.8,16.0,48,92.6010101010101
97,490.0,1,2,1,4,2,6,1,-18.4,13.0,54,92.0940594059406
98,495.0,0,1,0,3,4,3,0,-15.4,10.0,54,92.06829268292682
99,500.0,4,5,0,7,5,1,4,-18.9,13.0,59,91.24285714285715
100,505.0,7,8,0,10,1,4,7,-20.7,15.0,57,91.33333333333333
101,510.0,0,1,0,10,3,0,0,-21.8,16.0,58,91.43981481481481
102,515.0,2,3,0,10,8,2,2,-31.6,26.0,56,92.75462962962963
103,520.0,1,2,0,10,5,2,1,-27.3,22.0,53,93.56221198156682
104,525.0,6,7,0,10,5,2,6,-23.0,18.0,50,94.74193548387096
105,530.0,0,1,0,10,8,0,0,-25.9,21.0,49,95.88479262672811
106,535.0,2,3,0,10,9,1,2,-28.5,24.0,45,96.9447004608295
107,540.0,5,6,0,10,9,0,5,-27.3,23.0,43,97.06392694063926
108,545.0,6,7,0,8,10,0,6,-22.6,18.0,46,95.95535714285714
109,550.0,1,2,0,8,6,0,1,-18.7,14.0,47,94.9475982532751
110,555.0,7,8,0,8,0,0,7,-12.5,8.0,45,95.5695652173913
111,560.0,6,7,0,1,1,0,6,-6.7,2.0,47,94.57021276595745
112,565.0,1,2,0,1,0,0,1,-6.300000000000001,1.0,53,93.66666666666667
113,570.0,6,7,0,0,2,2,6,-9.5,4.0,55,92.89387755102041
114,575.0,1,2,1,0,0,4,1,-10.600000000000001,5.0,56,92.188
115,580.0,2,3,3,2,0,6,2,-16.6,11.0,56,92.25296442687747
116,585.0,3,4,6,5,0,8,3,-24.6,19.0,56,92.3125
117,590.0,0,1,5,8,0,6,0,-24.7,19.0,57,92.69767441860465
118,595.0,2,3,4,10,0,7,2,-26.5,21.0,55,93.05
119,600.0,5,6,5,10,0,5,5,-27.7,22.0,57,92.70833333333333
120,605.0,2,3,8,10,0,5,2,-32.5,27.0,55,92.70037453183521
121,610.0,1,2,8,10,0,6,1,-32.5,27.0,55,93.73408239700375
122,615.0,6,7,8,9,0,10,6,-34.6,29.0,56,94.42537313432835
123,620.0,3,4,8,8,0,10,3,-36.7,31.0,57,93.73992673992674
124,625.0,0,1,4,9,0,10,0,-28.8,23.0,58,94.0909090909091
125,630.0,0,1,0,10,0,8,0,-25.0,19.0,60,93.7921146953405
126,635.0,4,5,0,10,2,4,4,-25.1,19.0,61,94.54642857142858
127,640.0,0,1,0,10,3,3,0,-28.9,23.0,59,95.61071428571428
128,645.0,6,7,0,10,3,5,6,-29.6,24.0,56,95.94680851063829
129,650.0,7,8,2,10,0,8,7,-32.0,26.0,60,95.63636363636364
130,655.0,0,1,0,10,2,8,0,-31.7,26.0,57,96.65384615384616
131,660.0,3,4,2,10,2,6,3,-33.5,28.0,55,96.93055555555556
132,665.0,0,1,0,10,2,4,0,-30.5,25.0,55,97.19655172413793
133,670.0,6,7,0,10,2,4,6,-29.2,24.0,52,97.7594501718213
134,675.0,4,5,0,10,4,8,4,-34.3,29.0,53,96.98986486486487
135,680.0,6,7,0,10,5,8,6,-33.5,28.0,55,97.24832214765101
136,685.0,4,5,0,10,5,8,4,-30.6,25.0,56,95.63725490196079
137,690.0,2,3,0,10,8,6,2,-34.0,28.0,60,95.70550161812298
138,695.0,1,2,0,10,4,6,1,-27.8,22.0,58,96.66343042071198
139,700.0,4,5,0,10,4,7,4,-30.7,25.0,57,97.59223300970874
140,705.0,6,7,0,10,6,8,6,-29.7,24.0,57,98.51456310679612
141,710.0,5,6,0,10,10,4,5,-30.4,25.0,54,99.39805825242719
142,715.0,6,7,0,10,10,5,6,-33.7,28.0,57,99.33974358974359
143,720.0,3,4,0,7,10,7,3,-30.6,25.0,56,99.92012779552715
